조사연도,시도,지역,기관명,기관유형대분류,기관유형소분류,우편번호,기관주소1,기관주소2,기관대표 전화번호
2023,서울,동대문구,겨레얼평생교육원,시민사회단체부설,,025-96,서울특별시 동대문구 답십리로40길 14(답십리동),,
2023,서울,중랑구  ,바디멀티기구필라테스 평생교육원,언론기관부설,,021-02,서울특별시 중랑구 동일로 795(중화동),3층,02-434-3209
2023,서울,중랑구  ,이브필라테스사가정평생교육원,언론기관부설,,022-14,서울특별시 중랑구 사가정로 399(면목동),7층 이브필라테스,02-435-2030
2023,서울,중랑구  ,샘문사이버교육원,원격형태,,021-31,서울특별시 중랑구 동일로101길 56(면목동),,02-491-0060
2023,서울,동대문구,대한자격검정평가원,원격형태,,026-04,서울특별시 동대문구 천호대로307,클래식 타워 608호,02-960-6003
2023,서울,동대문구,글로벌미래지식교육원,원격형태,,024-98,서울특별시 동대문구 망우로18길 33(휘경동),4층,02-6013-7936
2023,서울,동대문구,에스바디워크필라테스(용두점)평생교육원,언론기관부설,,025-65,서울특별시 동대문구 고산자로 406(용두동),화성빌딩 2층,02-959-9609
2023,서울,중랑구  ,스티븐영어평생교육시설,원격형태,,022-03,서울특별시 중랑구 상봉로 7,403호,070-7722-1408
2023,서울,동대문구,트리엘필라테스회기점평생교육원,언론기관부설,,024-52,서울특별시 동대문구 이문로 37(회기동),2층 202호,02-969-9609
2023,서울,동대문구,한국라이브커머스아카데미원격평생교육원,원격형태,,025-80,서울특별시 동대문구 왕산로 21,민족통일대통령빌딩 1001호,02-6959-3891
2023,서울,동대문구,시내코스평생교육원,지식·인력개발형태,,024-90,서울특별시 동대문구 홍릉로 28(청량리동),,02-960-7423
2023,서울,중랑구  ,샘문평생교육원,언론기관부설,,021-31,서울특별시 중랑구 동일로101길 56(면목동),,02-491-0060
2023,서울,동대문구,라온평생교육원,언론기관부설,,024-45,서울특별시 동대문구 회기로 195(휘경동),라온평생교육원 3_5층,
2023,서울,중랑구  ,에코플러스평생교육원,언론기관부설,,021-19,서울특별시 중랑구 망우로 192(상봉동),,02-2207-2470
2023,서울,동대문구,스타트잡평생교육원,언론기관부설,,025-86,서울특별시 동대문구 천호대로 14-1(신규동),,02-2235-7780
2023,서울,동대문구,끌로에필라테스스튜디오,언론기관부설,,024-09,서울특별시 동대문구 신이문로 27(이문동),,
2023,서울,중랑구  ,네이처테이블평생교육원,언론기관부설,,021-64,서울특별시 중랑구 망우로66길 5(망우동 태웅빌딩),2층일부_ 3층일부,02-3421-2604
2023,서울,중랑구  ,룩스필라테스먹골역점평생교육원,언론기관부설,,020-05,서울특별시 중랑구 동일로 925(묵동),,02-977-2232
2023,서울,동대문구,매경아카데미평생교육원,시민사회단체부설,,024-96,서울특별시 동대문구 망우로12길 29,,02-2235-4941
2023,서울,동대문구,비젼평생교육원,시민사회단체부설,,025-82,서울특별시 동대문구 천호대로 9,명일빌딩 3층,02-6959-4606
2023,서울,중랑구  ,희망나눔수레평생교육원,언론기관부설,,020-55,서울특별시 중랑구 신내역로3길 40-36,,02-433-4567
2023,서울,동대문구,마인드랩평생교육원,언론기관부설,,025-79,서울특별시 동대문구 왕산로9길 8,,02-922-2600
2023,서울,중랑구  ,룩스필라테스중랑구청점평생교육원,언론기관부설,,020-76,서울특별시 중랑구 봉화산로 194,908호,02-3421-8885
2023,서울,동대문구,내일원격평생교육원,원격형태,,025-79,서울특별시 동대문구 왕산로 55,,02-3407-2431
2023,서울,중랑구  ,휴인필라테스평생교육원,언론기관부설,,020-33,서울특별시 중랑구 동일로 946,2층 207_208호(묵동_ 묵동신도주상복합아파트),02-975-9192
2023,서울,동대문구,통원서당원격평생교육원,원격형태,,025-82,서울특별시 동대문구 천호대로 15-3,신설동,
2023,서울,동대문구,영사이버평생교육원,원격형태,,026-24,서울특별시 동대문구 답십리로68길 31,3층 309호(장안동),02-3445-4444
2023,서울,중랑구  ,포시즌필라테스망우점평생교육원,언론기관부설,,020-72,서울특별시 중랑구 망우로 421 6층 (망우동),대옥빌딩6층,02-432-0878
2023,서울,중랑구  ,룩스필라테스면목중앙점평생교육원,언론기관부설,,022-21,서울특별시 중랑구 면목로 357 3층 일부 (면목동),,02-432-2511
2023,서울,중랑구  ,모빌리티아카데미,언론기관부설,,021-19,서울특별시 중랑구 중랑천로12길 10 비동 2층 일부 (상봉동),,02-2208-0670
2023,서울,중랑구  ,센터인필라테스양원점평생교육원,언론기관부설,,020-57,서울특별시 중랑구 양원역로10길 3 409·410호 (망우동),,02-432-9046
2023,서울,동대문구,루아프필라테스평생교육원,언론기관부설,,026-21,서울특별시 동대문구 전농로 24 7층 일부 (답십리동 계림빌딩),,02-6951-5500
2023,서울,중랑구  ,에반더필라테스평생교육원,언론기관부설,,020-24,서울특별시 중랑구 신내로 211 207호 일부 (신내동 금강리빙스텔),,02-3421-7920
2023,서울,중랑구  ,룩스필라테스면목겸재점평생교육원,언론기관부설,,021-89,서울특별시 중랑구 용마산로 438 6층 (면목동 동원빌딩),,02-2207-3737
2023,서울,동대문구,마론필라테스답십리점평생교육원,언론기관부설,,025-95,서울특별시 동대문구 황물로 63-1 2층 (답십리동),,
2023,서울,동대문구,슈브필라테스답십리점평생교육원,언론기관부설,,025-98,서울특별시 동대문구 답십리로 140 301·302·303호 (답십리동 세기프라자),,02-3394-8898
2023,서울,중랑구  ,엣지필라테스상봉점평생교육원,언론기관부설,,020-98,서울특별시 중랑구 망우로 285 3층·4층 (상봉동),엣지필라테스,02-438-3434
2023,서울,중랑구  ,꽃가람누리평생교육원,시민사회단체부설,,021-03,서울특별시 중랑구 중랑역로 60-1 2층 일부 (중화동 진성빌딩),201호,02-433-4485
2023,서울,동대문구,한국안전경영연구원원격평생교육원,원격형태,,025-69,서울특별시 동대문구 왕산로 117 14-1호 일부 (제기동 불로장생타워),14층 한국안전경영연구원,02-2632-6350
2023,서울,마포구  ,홈플러스문화센터월드컵점,사업장부설,유통업체 문화센터,039-32,서울특별시 마포구 월드컵로 240,홈플러스 2층 문화센터,02-3142-2007
2023,서울,마포구  ,한겨레교육문화센터,언론기관부설,,041-00,서울특별시 마포구 백범로 18 [ 노고산동 미화빌딩 ],5층~8층,02-3279-0900
2023,서울,은평구  ,은평한국문화센터,지식·인력개발형태,,033-58,서울특별시 은평구 통일로68길 4,원영빌딩 3층,02-382-8851
2023,서울,서대문구,신촌현대문화센타,지식·인력개발형태,,037-89,서울특별시 서대문구 신촌로 83,,02-3145-3383
2023,서울,서대문구,한국방송예술교육진흥원평생교육시설,지식·인력개발형태,,037-67,서울특별시 서대문구 신촌로 197,,02-761-2776
2023,서울,마포구  ,서울북인스티튜트평생교육시설,지식·인력개발형태,,040-30,서울특별시 마포구 동교로22길 44,,02-3142-2333
2023,서울,서대문구,독립문총신사회교육원,언론기관부설,,037-32,서울특별시 서대문구 통일로17길 16,,02-392-8827
2023,서울,서대문구,동아비즈니스아카데미원격평생교육시설,원격형태,,037-37,서울특별시 서대문구 충정로 29,,02-6380-7222
2023,서울,마포구  ,한국문화센타평생교육시설,지식·인력개발형태,,041-03,서울특별시 마포구 백범로1길 60,,02-323-5950
2023,서울,은평구  ,중앙독립문평생교육원,시민사회단체부설,,033-29,서울특별시 은평구 통일로87길 19-1,,02-359-9362
2023,서울,마포구  ,케이비에스방송아카데미,언론기관부설,,039-09,서울특별시 마포구 매봉산로 45,KBS미디어센터 3층 일부,02-6939-8181
2023,서울,서대문구,창천문화평생교육원,시민사회단체부설,,037-87,서울특별시 서대문구 신촌로 57,,
2023,서울,서대문구,로고스(Logos)문화예술교육원,지식·인력개발형태,,036-76,서울특별시 서대문구 응암로 139,,02-3142-7423
2023,서울,마포구  ,이차이나로원격평생교육시설,원격형태,,039-25,서울특별시 마포구 월드컵북로 402,,1588-1931
2023,서울,마포구  ,사단법인글로벌교육문화연구원부설국제평생교육원,시민사회단체부설,,041-58,서울특별시 마포구 큰우물로 75,,02-703-9889
2023,서울,은평구  ,컬처클럽은평점평생교육시설,사업장부설,유통업체 문화센터,034-61,서울특별시 은평구 은평로 111,9층 문화센터,02-380-1250
2023,서울,마포구  ,서울디지털평생교육원,원격형태,,041-57,서울특별시 마포구 독막로 320,4층 402호,1644-8209
2023,서울,마포구  ,미디액트평생교육시설,시민사회단체부설,,040-61,서울특별시 마포구 서강로9길 52,동복이세빌딩 3층,02-3141-6300
2023,서울,마포구  ,서울지역사회교육협의회부설평생교육원,시민사회단체부설,,040-42,서울특별시 마포구 잔다리로 30-8,,02-324-5562
2023,서울,마포구  ,와이트리문화센터평생교육원,언론기관부설,,039-63,서울특별시 마포구 월드컵로 125,,02-338-3300
2023,서울,마포구  ,프로에듀사회교육원,언론기관부설,,041-58,서울특별시 마포구 큰우물로 75 [ 도화동 성지빌딩 ],B1304호,02-312-1960
2023,서울,서대문구,국제사이버평생교육원,원격형태,,036-52,서울특별시 서대문구 연희로37안길 8,1층,02-839-0388
2023,서울,마포구  ,에이스넷평생교육원,원격형태,,039-62,서울특별시 마포구 월드컵로 159 [ 망원동 ],,02-322-8410
2023,서울,마포구  ,시대교육원격평생교육원,원격형태,,041-58,서울특별시 마포구 큰우물로 75,(도화동538) 성지빌딩 B1503호_ B908호 C201호 C203호,02-719-7985
2023,서울,은평구  ,에스아이티 평생교육원,언론기관부설,,034-35,서울특별시 은평구 갈현로 29,신사코아아파트 상가 201호,02-382-9389
2023,서울,마포구  ,행복미래교육원 평생교육시설,시민사회단체부설,,040-61,서울특별시 마포구 서강로9길 52 [ 창전동 ],,02-324-5962
2023,서울,마포구  ,큐레이터세상 원격평생교육시설,원격형태,,040-50,서울특별시 마포구 양화로 156,,02-6204-2005
2023,서울,마포구  ,라이프라인아카데미,언론기관부설,,039-58,서울특별시 마포구 망원로 19 (망원동 참존아파트),203호,02-3144-0988
2023,서울,마포구  ,에스씨엠아카데미 평생교육원,언론기관부설,,041-57,서울특별시 마포구 마포대로 63-8,삼창프라자 2층,02-749-5445
2023,서울,서대문구,KAC한국예술원,지식·인력개발형태,,037-37,서울특별시 서대문구 경기대로 22,글샘빌딩,02-777-6133
2023,서울,마포구  ,윕스아이피교육센터평생교육원,지식·인력개발형태,,039-29,서울특별시 마포구 성암로 189,중소기업DMC타워 19층 일부(상암동),02-726-1110
2023,서울,마포구  ,한국경영자총협회부설 인재개발원 평생교육시설,지식·인력개발형태,,041-10,서울특별시 마포구 백범로 88,5층,02-3270-7374
2023,서울,마포구  ,디딤에듀원격평생교육원,원격형태,,040-01,서울특별시 마포구 월드컵북로5가길 8-15,4층,02-1544-9268
2023,서울,마포구  ,스마트동스쿨원격평생교육시설,원격형태,,039-09,서울특별시 마포구 매봉산로 37,,070-4707-2727
2023,서울,마포구  ,토크엔조이 원격평생교육시설,원격형태,,041-44,서울특별시 마포구 마포대로 127 [ 공덕동 풍림브이아이피텔 ],1217호,02-3474-7455
2023,서울,마포구  ,홈플러스문화센터합정점,사업장부설,유통업체 문화센터,040-36,서울특별시 마포구 양화로 45,지하 2층 일부,02-6938-8803
2023,서울,마포구  ,경총원격평생교육원,원격형태,,041-10,서울특별시 마포구 백범로 88,5층,02-3270-7374
2023,서울,마포구  ,휴먼리소스코리아평생교육원,언론기관부설,,040-11,서울특별시 마포구 망원로 96,,02-393-2220
2023,서울,은평구  ,한양건축평생교육원,지식·인력개발형태,,033-93,서울특별시 은평구 서오릉로 110,5층,02-358-6779
2023,서울,서대문구,한국한성화교중고등학교 부설 평생교육원,초.중등 학교부설,중고등학교,037-23,서울특별시 서대문구 연희로 176 [ 연희동 한성화교중·고등학교 ],,02-325-1546
2023,서울,마포구  ,한어원격평생교육원,원격형태,,040-45,서울특별시 마포구 양화로 56,,02-1599-1518
2023,서울,마포구  ,토마토패스원격평생교육시설,원격형태,,040-84,서울특별시 마포구 양화진4길 32,,02-2128-3336
2023,서울,마포구  ,다락원 원격평생교육원,원격형태,,040-31,서울특별시 마포구 잔다리로 64-1,,02-736-2031
2023,서울,마포구  ,사단법인한국차문화협회평생교육원,시민사회단체부설,,040-12,서울특별시 마포구 월드컵로13길 34 [ 망원동 두드림빌딩 ],3층 302호,02-719-7816
2023,서울,서대문구,감리교신학대학교 부설 원격평생교육원,원격형태,,037-45,서울특별시 서대문구 독립문로 56,신석구기념관 B132호,02-361-9238
2023,서울,마포구  ,이노크루원격평생교육시설,원격형태,,039-09,서울특별시 마포구 매봉산로 37 [ 상암동 DMC 산학협력연구센터 ],,02-324-5661
2023,서울,마포구  ,쓰리디쿠키 평생교육원 홍대센터,언론기관부설,,040-68,서울특별시 마포구 독막로 93,4층,02-3144-3137
2023,서울,마포구  ,한국사회서비스인력평생교육원,언론기관부설,,042-06,서울특별시 마포구 마포대로 196,303호,02-717-1897
2023,서울,서대문구,마음아카데미평생교육원,언론기관부설,,036-19,서울특별시 서대문구 간호대로 11-30,,
2023,서울,마포구  ,창비교육평생교육원,지식·인력개발형태,,040-04,서울특별시 마포구 월드컵로12길 7,,02-6949-0964
2023,서울,은평구  ,포시즌필라테스평생교육원,언론기관부설,,033-06,서울특별시 은평구 진관2로 15-46,,02-352-8999
2023,서울,마포구  ,다솜이재단평생교육원,언론기관부설,,039-93,서울특별시 마포구 동교로27길 3-10,,070-7507-2070
2023,서울,은평구  ,롯데마트문화센터은평점,사업장부설,유통업체 문화센터,033-06,서울특별시 은평구 통일로 1050,,02-2097-2590
2023,서울,마포구  ,한국지역정보개발원(KLID)아카데미,원격형태,,039-24,서울특별시 마포구 월드컵북로54길 11,,02-2031-9324
2023,서울,마포구  ,아담리즈수학마포평생교육센터,지식·인력개발형태,,041-17,서울특별시 마포구 굴레방로1길 25,,02-712-1208
2023,서울,은평구  ,에스필라테스요가평생교육원,언론기관부설,,033-36,서울특별시 은평구 서오릉로 152,3층,02-352-7377
2023,서울,마포구  ,한솔미래교육원,지식·인력개발형태,,039-08,서울특별시 마포구 월드컵북로 361 [ 상암동 DMC이안오피스텔 ],,02-2001-5600
2023,서울,서대문구,러닝타운원격평생교육시설,원격형태,,036-35,서울특별시 서대문구 통일로 356 3층,,1644-8971
2023,서울,서대문구,나려요가필라테스평생교육원,언론기관부설,,037-77,서울특별시 서대문구 신촌역로 31,2층,02-362-5557
2023,서울,마포구  ,상상에이앤이,원격형태,,041-44,서울특별시 마포구 마포대로 127,1328호(공덕동_ 풍림브이아이피텔),1599-1898
2023,서울,마포구  ,꼭대기,원격형태,,039-85,서울특별시 마포구 연희로 11,,02-356-5779
2023,서울,마포구  ,형설미래교육원,원격형태,,039-25,서울특별시 마포구 월드컵북로 402,1212호,070-4896-6052
2023,서울,서대문구,랩스,지식·인력개발형태,,037-88,서울특별시 서대문구 연세로 27-1,6층,02-333-8151
2023,서울,마포구  ,뉴인에듀원격평생교육시설,원격형태,,040-38,서울특별시 마포구 잔다리로 44,8층,02-866-5226
2023,서울,마포구  ,한국알티센터평생교육원,언론기관부설,,040-72,서울특별시 마포구 독막로 14,3층,02-6205-5621
2023,서울,마포구  ,쇼잉글리쉬원격평생교육시설,원격형태,,039-24,서울특별시 마포구 월드컵북로54길 17,,02-555-0044
2023,서울,마포구  ,상상마당아카데미평생교육원,사업장부설,산업체부설,040-42,서울특별시 마포구 어울마당로 65,6F 상상마당 아카데미 평생교육원,02-330-6227
2023,서울,마포구  ,노트폴리오평생교육원,언론기관부설,,039-90,서울특별시 마포구 연남로1길 26,,070-8733-5858
2023,서울,마포구  ,온라인한솔미래교육원,원격형태,,039-08,서울특별시 마포구 월드컵북로 361,,02-2001-5600
2023,서울,마포구  ,케이알컨설팅,지식·인력개발형태,,040-02,서울특별시 마포구 동교로 17길 35,,02-337-4984
2023,서울,마포구  ,케이비에스미디어온라인평생교육원,원격형태,,039-25,서울특별시 마포구 월드컵북로 402,1212호,070-4896-6053
2023,서울,마포구  ,휴먼리소스코리아원격평생교육원,원격형태,,040-11,서울특별시 마포구 망원로 96,,02-393-2220
2023,서울,마포구  ,파워피티프레젠테이션아카데미평생교육원,지식·인력개발형태,,041-72,서울특별시 마포구 삼개로 27,LK빌딩 2층,
2023,서울,마포구  ,쿠바핏요가평생교육원,언론기관부설,,039-27,서울특별시 마포구 매봉산로2길 15,,02-376-9221
2023,서울,마포구  ,쿠바핏평생교육원,언론기관부설,,039-27,서울특별시 마포구 매봉산로2길 15,,02-376-9222
2023,서울,마포구  ,오요가평생교육원,언론기관부설,,041-17,서울특별시 마포구 굴레방로1길 25,,02-6081-5505
2023,서울,은평구  ,스토리평생교육원,원격형태,,033-96,서울특별시 은평구 통일로 739,,
2023,서울,서대문구,요가문서울차오름평생교육원,언론기관부설,,037-89,서울특별시 서대문구 연세로5길26-17,,02-702-7502
2023,서울,마포구  ,리본필라테스마포공덕점평생교육원,언론기관부설,,041-68,서울특별시 마포구 마포대로 78,,02-704-9760
2023,서울,마포구  ,바디멀티기구필라테스마포구청점평생교육원,언론기관부설,,039-38,서울특별시 마포구 월드컵로36길 14,,02-303-7111
2023,서울,마포구  ,희망제작소,지식·인력개발형태,,039-78,서울특별시 마포구 월드컵북로 92,4층 일부(성산동),02-3210-0909
2023,서울,마포구  ,학지사에듀원격평생교육원,원격형태,,040-31,서울특별시 마포구 월드컵북로1길 26-9,,02-330-5164
2023,서울,마포구  ,학지사에듀평생교육원,지식·인력개발형태,,040-30,서울특별시 마포구 동교로18길 20,4층,02-330-5164
2023,서울,마포구  ,그린비아카데미,지식·인력개발형태,,040-57,서울특별시 마포구 와우산로 180,,02-334-1412
2023,서울,마포구  ,러닝핏,원격형태,,039-09,서울특별시 마포구 매봉산로 37,,02-6085-2020
2023,서울,은평구  ,디엘필라테스평생교육원,언론기관부설,,033-72,서울특별시 은평구 통일로 626,,02-352-4448
2023,서울,마포구  ,서울미래예술교육원,지식·인력개발형태,,041-59,서울특별시 마포구 토정로 265,,02-714-2628
2023,서울,마포구  ,한국상장회사협의회평생교육시설,지식·인력개발형태,,041-51,서울특별시 마포구 독막로 279,상장회사회관 2층(대흥동),02-2087-7216
2023,서울,은평구  ,파인필라테스응암점평생교육원,언론기관부설,,034-61,서울특별시 은평구 은평로 93,2층,02-1670-7672
2023,서울,마포구  ,뮤직서커스,원격형태,,041-04,서울특별시 마포구 신촌로 174,,
2023,서울,마포구  ,하이콜링,원격형태,,040-39,서울특별시 마포구 홍익로5안길 8,,02-335-1002
2023,서울,마포구  ,더블에이짐공덕평생교육원,언론기관부설,,041-30,서울특별시 마포구 마포대로 183-28,3층4층 (아현동),02-365-5900
2023,서울,마포구  ,진스엠파워서교점평생교육원,언론기관부설,,039-97,서울특별시 마포구 성미산로6길 45,바르지평생교육원,
2023,서울,마포구  ,시도스쿨,원격형태,,040-72,서울특별시 마포구 독막로6길 9,,070-7604-5190
2023,서울,마포구  ,서울IT원격평생교육원,원격형태,,040-43,서울특별시 마포구 양화로12길 23,,02-2278-5700
2023,서울,마포구  ,오잉톡(Oh English Talk),원격형태,,039-61,서울특별시 마포구 방울내로11길 37,326,
2023,서울,마포구  ,디노마드평생교육원,지식·인력개발형태,,040-48,서울특별시 마포구 독막로9길 29 1층 2층,,02-337-2583
2023,서울,서대문구,더건강한패밀리(필라테스가든)평생교육원,언론기관부설,,037-66,서울특별시 서대문구 이화여대길 7,,02-313-3120
2023,서울,은평구  ,엔리치필라테스연신내점평생교육원,언론기관부설,,033-45,서울특별시 은평구 통일로 856,극동메트로타워 3층,02-383-9609
2023,서울,서대문구,바디인필라테스평생교육원,언론기관부설,,036-91,서울특별시 서대문구 응암로 66,,02-303-8925
2023,서울,마포구  ,말글힘한국어카데미아,언론기관부설,,041-01,서울특별시 마포구 신촌로 102-1,무송빌딩 5층,02-707-1996
2023,서울,은평구  ,이브필라테스평생교육원,언론기관부설,,033-85,서울특별시 은평구 통일로 845,,
2023,서울,마포구  ,밸런스랩운동센터평생교육원,언론기관부설,,041-69,서울특별시 마포구 새창로 30,3층밸런스랩운동센터,02-711-9609
2023,서울,은평구  ,디데이필라테스평생교육원,언론기관부설,,034-65,서울특별시 은평구 응암로 286,,02-358-4777
2023,서울,마포구  ,노마드코더원격평생교육원,원격형태,,041-00,서울특별시 마포구 백범로 8,,02-6487-1130
2023,서울,마포구  ,단결원격평생교육원,원격형태,,040-47,서울특별시 마포구 독막로 35,,02-6959-0609
2023,서울,마포구  ,대원아카데미,언론기관부설,,041-75,서울특별시 마포구 마포대로 20,,02-707-1072
2023,서울,마포구  ,라인강스피치원격평생교육시설,원격형태,,041-08,서울특별시 마포구 백범로 21,,070-4757-0074
2023,서울,마포구  ,리월드커뮤니케이션원격평생교육시설,원격형태,,039-02,서울특별시 마포구 월드컵북로 481,상암오벨리스크2차 2-437,02-783-1924
2023,서울,서대문구,명지전문대학부설원격평생교육원,원격형태,,036-56,서울특별시 서대문구 가좌로 134,,02-300-1000
2023,서울,서대문구,비브필라테스평생교육원,언론기관부설,,037-07,서울특별시 서대문구 연희맛로 1,,02-336-0093
2023,서울,마포구  ,산업경영교육원평생교육원,원격형태,,040-02,서울특별시 마포구 월드컵북로5나길 9-9,인사이트 빌딩 502호,02-325-7477
2023,서울,마포구  ,에프앤이노에듀(fn innoedu)평생교육원,원격형태,,041-67,서울특별시 마포구 마포대로 45,일진빌딩 3층 우측,02-2179-5101
2023,서울,마포구  ,오피플원격평생교육시설,원격형태,,039-20,서울특별시 마포구 성암로 330,B동 711호(상암동_ DMC첨단산업센터),1544-9748
2023,서울,마포구  ,이씨케이(ECK)원격평생교육시설,원격형태,,040-98,서울특별시 마포구 창전로2길 27,,02-733-9950
2023,서울,마포구  ,이씨케이(ECK)평생교육시설,지식·인력개발형태,,040-98,서울특별시 마포구 창전로2길 27,,02-733-9950
2023,서울,서대문구,주식회사컬컴평생교육원,언론기관부설,,037-88,서울특별시 서대문구 연세로7안길 22,2층,
2023,서울,마포구  ,코리아중앙데일리전화영어,원격형태,,039-09,서울특별시 마포구 상암산로 48-6,14층 중앙데일리,1577-0510
2023,서울,마포구  ,테크놀로지앤러닝(Technology&Learning)평생교육원,지식·인력개발형태,,041-43,서울특별시 마포구 마포대로 155,LG마포빌딩 6층,
2023,서울,마포구  ,톰슨에듀원격평생교육시설,원격형태,,041-08,서울특별시 마포구 고산길 12,,02-702-1545
2023,서울,마포구  ,한국교육능력개발원원격평생교육원,원격형태,,041-57,서울특별시 마포구 토정로37길 46,B1_ 32호,02-703-5125
2023,서울,서대문구,르바디필라테스이대점평생교육원,언론기관부설,,037-64,서울특별시 서대문구 이화여대길 48,,
2023,서울,마포구  ,MKYU평생교육원,원격형태,,040-54,서울특별시 마포구 와우산로23길 8,2층,
2023,서울,마포구  ,예능토익연구소,원격형태,,041-68,서울특별시 마포구 새창로 11,1303호,02-6092-9900
2023,서울,마포구  ,(주)BM교육그룹,언론기관부설,,039-81,서울특별시 마포구 동교로50길 12,5층,02-338-5881
2023,서울,은평구  ,줌인평생교육원,원격형태,,033-71,서울특별시 은평구 통일로 684,미래청 511호,02-351-3798
2023,서울,마포구  ,리본필라테스합정점평생교육원,언론기관부설,,040-43,서울특별시 마포구 양화로 78-19,,02-332-7407
2023,서울,마포구  ,유랩캠퍼스,원격형태,,040-32,서울특별시 마포구 양화로 133,,
2023,서울,마포구  ,베어유원격평생교육원,원격형태,,040-90,서울특별시 마포구 독막로34길 4-4,2층,
2023,서울,마포구  ,이디엠아트앤지다인평생교육원,지식·인력개발형태,,039-95,서울특별시 마포구 양화로 151,욱도빌딩 5층,02-313-5195
2023,서울,마포구  ,이씨케이에듀원격평생교육원,원격형태,,040-98,서울특별시 마포구 창전로2길 27,B1,
2023,서울,마포구  ,친절한영어교실원격평생교육원,원격형태,,040-47,서울특별시 마포구 독막로5길 23,,
2023,서울,마포구  ,블루타이거,원격형태,,040-23,서울특별시 마포구 월드컵로31 5층 701호,,
